# merit_flaw_pt.tsv - traducao PT dos 643 nomes de qualidade/defeito (T750, 2026-08-28)
#
# colunas: nome_EN <TAB> nome_PT <TAB> marca
#
# marca "R"        = termo consagrado de mesa. Traduzido, mas o user ainda nao conferiu
#                    contra a edicao brasileira. Sao os que valem revisao.
# marca "ARTEFATO" = o nome saiu GRUDADO do pdftotext (FleshoftheCorpse). Nao e nome novo:
#                    e o mesmo item da linha vizinha e some no dedupe de T751.
# sem marca        = traducao direta, sem jargao envolvido.
#
# Opcao C, escolhida pelo user em 2026-08-28: eu traduzo tudo e marco so os duvidosos.
# O estilo segue as 11 que a ficha JA tinha (Child=Crianca, Legerdemain=Prestidigitacao,
# True Faith=Fe Verdadeira): termo de jogo TRADUZIDO, nao transliterado.
#
# ATENCAO ao reler este arquivo com PowerShell: hashtable comum e CASE-INSENSITIVE e funde
# "Sleeping with the Enemy" com "Sleeping With the Enemy", que sao DUAS entradas de livros
# diferentes. Usar [StringComparer]::Ordinal. Ja mordeu uma vez aqui.
#
# 2a PASSADA (2026-08-28): a extracao trocou `pdftotext -raw` pelo modo PADRAO. Os 5 nomes
# GRUDADOS (FleshoftheCorpse, TouchofFrost, SpiritMentor, LinguaFranca, HarbingeroftheAbyss)
# sumiram sozinhos - o modo padrao nao cola palavra. "Mark of Caine" saiu por ser falso
# positivo (so aparece em prosa) e "Technobabbler" virou "Esoteric Discourse / Technobabbler",
# que e o nome inteiro que o livro imprime. Entraram 6 nomes novos.
Ability Deficit	Déficit de Habilidade
Private Life	Vida Reservada
Prized Collection	Coleção Preciosa
Prized Patch	Emblema Cobiçado
Probationary Member	Membro em Estágio
Probationary Sect Member	Membro Probatório da Seita
Problem with Authority	Problema com Autoridade
Profane Trappings	Adereços Profanos
Profiled Appearance	Aparência Fichada
Promethean Clay	Barro Prometeico
Prone to Quiet	Propenso ao Silêncio
Property	Propriedade
Prophetic Dreams	Sonhos Proféticos	R
Psi Focus	Foco Psíquico	R
Psychic Awareness	Percepção Psíquica
Psychic Leech	Sanguessuga Psíquica
Psychic Vampire	Vampiro Psíquico
PTSD	TEPT	R
Putrescent	Putrefato
Quartermaster	Intendente
Ragged Bite	Mordida Irregular
Rat in a Cage	Rato na Gaiola
Ravnos Jati	Jati Ravnos	R
Rebel	Rebelde
Recruitment Target	Alvo de Recrutamento
Red List	Lista Vermelha	R
Refined Palate	Paladar Refinado	R
Regal Bearing	Porte Régio
Religious Hysteria	Histeria Religiosa
Rep	Reputação	R
Repelled by Crosses	Repelido por Cruzes	R
Repulsed by Garlic	Repelido por Alho	R
Repulsive Feature	Traço Repulsivo
Repulsive to Animals	Repulsivo aos Animais	R
Research Grant	Bolsa de Pesquisa
Revenant Disciplines	Disciplinas de Revenant	R
Revenant Weakness	Fraqueza de Revenant	R
Rising Star	Estrela em Ascensão
Ritual Dabbler	Diletante em Rituais	R
Ritual Ineptness	Inépcia Ritual	R
Ritual Sleeper	Ritual Adormecido	R
Rival House	Casa Rival
Rival Sires	Senhores Rivais	R
Rivalry	Rivalidade
Rogue	Canalha
Romantic Notions	Ideias Românticas
Rose-Colored Glasses	Óculos Cor-de-Rosa
Rotten Liar	Péssimo Mentiroso
Rugged Bad Looks	Feiúra Marcante
Sabbat Survivor	Sobrevivente do Sabá	R
Sanction	Sanção
Sanctioned Witch	Bruxa Sancionada
Sanctity	Santidade	R
Sanctuary	Santuário
Sanguine Incongruity	Incongruência Sanguínea
Scales	Escamas
Scent of the Other	Cheiro do Outro
Scholar of Enemies	Estudioso dos Inimigos
Scholar of Others	Estudioso dos Outros
Science Laboratory	Laboratório Científico
Scientific Mystic /Techgnosi	Místico Científico/Tecgnose	R
Secret Code Language	Linguagem Cifrada
Secret Society Member	Membro de Sociedade Secreta
Secret Stash	Reserva Secreta
Sect Enmity	Inimizade de Seita
Sectarian Ally	Aliado Sectário
Seizures	Convulsões
Self-Confident	Autoconfiante
Self-Preservation	Autopreservação
Sense Influence	Sentir Influência
Setite Initiate	Iniciado Setita	R
Shadow Scarred	Marcado pelas Sombras
Shadow Walker	Andarilho das Sombras
Shapechanger Kin	Parente de Metamorfo	R
Shattered Avatar	Avatar Despedaçado	R
Short	Baixinho	R
Short Fuse	Pavio Curto	R
Shy	Tímido	R
Siege Mentality	Mentalidade de Cerco
Sight Beyond Sight	Visão Além da Visão
Simply Waiting	Apenas Esperando
Sire's Resentment	Ressentimento do Senhor	R
Skald	Escaldo	R
Skin of Porcelain	Pele de Porcelana
Sleep Unseen	Dormir Invisível
Sleeping With the Enemy	Dormindo com o Inimigo	R
Sleeping with the Enemy	Dormindo com o Inimigo	R
Slimy	Viscoso
Slow Healing	Cura Lenta	R
Slowed Degeneration	Degeneração Retardada
Smell of the Grave	Cheiro de Túmulo
Soapbox	Palanque
Socially Networked	Bem Relacionado
Soft-Hearted	Coração Mole	R
Spark of Life	Faísca de Vida
Spawning Pool	Poço de Desova
Special Responsibility	Responsabilidade Especial
Speech Impediment	Problema de Fala	R
Sphere Inept	Inepto em Esfera	R
Sphere Natural	Talento Natural para Esfera	R
Spirit Mentor	Mentor Espiritual	R
Squeamish	Impressionável
Stench	Fedor
Stereotype	Estereótipo
Stigmata	Estigmas	R
Stillness of Death	Imobilidade da Morte
Stitcher	Costureiro
Stone Tongue	Língua de Pedra
Stormwarden	Guardião da Tempestade	R
Stormwarden /Quantum Voyager	Guardião da Tempestade/Viajante Quântico	R
Strangeness	Estranheza
Strength of Psyche	Força da Psique
Stress Atavism	Atavismo sob Estresse
Stubborn Magic	Magia Teimosa
Sturdy	Robusto
Style Sleeper	Estilo Adormecido	R
Styx Baptism	Batismo do Estige
Subculture Insider	Iniciado na Subcultura
Sugar Daddy	Patrocinador
Supernatural Companion	Companheiro Sobrenatural
Sympathetic Mastery	Maestria Simpática
Sympathizer	Simpatizante
Taint of Corruption	Mácula da Corrupção
Territorial	Territorial
Thaumaturgically Inept	Inepto em Taumaturgia	R
The Bard's Tongue	A Língua do Bardo	R
The Company of Saints and Heroes	A Companhia dos Santos e Heróis
The Eighth	O Oitavo
The Flow of Ki	O Fluxo do Ki
The High Price	O Preço Alto
The Largest Maw	As Maiores Fauces
Thin Blood	Sangue Fraco	R
Thirst for Innocence	Sede de Inocência
Thirteenth Generation	Décima Terceira Geração
Thousand Meter Killer	Matador de Mil Metros
Throwback	Atavismo	R
Thugs	Capangas
Tic/Twitch	Tique/Espasmo	R
Ties	Vínculos
Time Sense	Senso de Tempo	R
Too Tough to Die	Duro de Matar
Tortured Artist	Artista Atormentado
Totemic Change	Mudança Totêmica
Touch of Frost	Toque de Gelo	R
Tough Hide	Couro Grosso
Tracker's Mark	Marca do Rastreador
Troublemaker	Encrenqueiro
True Celerity	Celeridade Verdadeira	R
True Faith	Fé Verdadeira
True Love	Amor Verdadeiro	R
Tunnel Rat	Rato de Túnel
Turncoat	Vira-Casaca
Twin Link	Elo Gêmeo
Twin Souls	Almas Gêmeas
Twisted Apprenticeship	Aprendizado Deturpado
Umbral Affinity	Afinidade Umbral	R
Unaging	Sem Idade
Unblinking	Sem Piscar
Unbondable	Invinculável	R
Uncanny	Estranho
Unclean	Impuro
Uncommon Vitae Preference	Preferência Incomum de Vitae	R
Uncontrollable Night Sight	Visão Noturna Incontrolável
Unconvinced	Não Convencido
Unholy Stain	Mácula Profana
Unlucky	Azarado	R
Unmarked Antitribu	Antitribu Sem Marca	R
Unobtrusive	Discreto
Unproven	Não Provado
Unsanctioned Embrace	Abraço Não Sancionado	R
Uppity	Atrevido
Useful Knowledge	Conhecimento Útil
Vaishya	Vaishya	R
Vanilla	Comum
Vassal of the Clan	Vassalo do Clã
Vengeful	Vingativo
Venomous Bite	Mordida Venenosa
Vicissitude Modifications	Modificações de Vicissitude	R
Victim of the Masquerade	Vítima da Máscara	R
Virulent Strike	Golpe Virulento
Vitae Mutation	Mutação da Vitae	R
Vitae Sink	Sorvedouro de Vitae	R
Vulgar	Vulgar
Vulnerability	Vulnerabilidade
Vulnerability to Silver	Vulnerabilidade à Prata	R
Ward	Protegido	R
Warrior's Heart	Coração de Guerreiro
Weak Blood	Sangue Fraco	R
Weak-Willed	Vontade Fraca	R
Well-Rounded	Versátil
Whimsy	Capricho
Witch-Hunted	Caçado por Bruxas	R
Without a Trace	Sem Deixar Rastro	R
Wolverine's Palate	Paladar de Carcaju
