# family_weakness.tsv - a FRAQUEZA de cada uma das 23 familias de PICKER_LIST[family].
# T937, 173a rodada 2026-09-03. Cabecalho ASCII por convencao; o DADO nao e (V411b).
#
# nome_picker<TAB>fonte<TAB>pag<TAB>en<TAB>pt
#
# fonte: gr = Ghouls & Revenants | da = V20 Dark Ages | USER = resposta do dono
#
# FORMA: UMA FRASE MECANICA, nao o bloco do livro (decisao do user 2026-09-03). Os blocos
# vao de 49 a 833 chars e sao ate 3 paragrafos; o box da aba Ghoul tem 128px de altura, o
# que da ~4 linhas. A pagina fica na linha para conferir de onde a frase foi destilada.
#
# Termos em pt seguem os que a ficha JA usa (medidos nos desc*_pt.lua): laco de sangue,
# frenesi, agravado, contundente, Abraco, Perturbacao, Qualidade, Defeito, Vigor.
#
# COMPLETUDE e cobrada por V412f: nome na lista sem linha aqui e FAIL, nao 'ainda nao
# extrai' - decisao do user em Q60, e foi o que tirou Katayama da lista em T938.
Keskinen	gr	114	All Keskinen share their patron's obsession with blotting out the sun, which manifests as a Derangement.	Todos os Keskinen compartilham a obsessão de sua patrona por apagar o sol, que se manifesta como uma Perturbação.
Khavi	da	455	Vulnerable to sunlight: they take sunlight damage as a Cainite would, but bashing rather than aggravated, and may soak it with Stamina and Fortitude.	Vulneráveis à luz do sol: sofrem dano solar como um Cainita, mas contundente em vez de agravado, e podem absorvê-lo com Vigor e Fortitude.
Krevcheski	USER	-	Krevcheski are distrusted by the Tzimisce, and thus have only learned two family Disciplines instead of the normal three.	Os Krevcheski são vistos com desconfiança pelos Tzimisce e, por isso, aprenderam apenas duas Disciplinas de família em vez das três normais.
Marijava	gr	114	Quite susceptible to the blood bond: they become Bound to a vampire after a single drink.	Bastante suscetíveis ao laço de sangue: ficam presos a um vampiro após um único gole.
Obertus	gr	103	Bred for intellect and prone to psychological disorders: the vast majority suffer the Obsessive-Compulsive Derangement (V20 pp. 291-292).	Criados para o intelecto e propensos a distúrbios psicológicos: a grande maioria sofre da Perturbação Obsessivo-Compulsiva (V20 p. 291-292).
Obertus (Narov)	gr	103	Members of the resurging Narov line are afflicted with the Megalomania Derangement instead (V20 pp. 291-292).	Os membros da linhagem Narov ressurgente são afligidos pela Perturbação Megalomania (V20 p. 291-292).
Oprichniki	gr	105	Cursed for their founders' crimes: they suffer the Haunted Flaw (V20 p. 495) permanently, and banishing one ghost only brings another.	Amaldiçoados pelos crimes dos fundadores: sofrem o Defeito Assombrado (V20 p. 495) em definitivo, e banir um fantasma só traz outro.
Rafastio	gr	107	Cursed by the moon: +2 difficulty to use Disciplines at the new moon, +1 waxing and waning, -1 at the full moon. Their blood rejects the Embrace, which has always killed them.	Amaldiçoados pela lua: +2 de dificuldade para usar Disciplinas na lua nova, +1 na crescente e na minguante, -1 na cheia. O sangue deles rejeita o Abraço, que sempre os matou.
Rossellini	gr	109	All of them suffer the Deathsight Flaw (V20 p. 494): -2 difficulty to resist Appearance-based rolls, +2 difficulty on Perception rolls and +1 on Social rolls.	Todos sofrem o Defeito Visão da Morte (V20 p. 494): -2 de dificuldade para resistir a testes de Aparência, +2 de dificuldade em testes de Percepção e +1 em testes Sociais.
Servants of Anushin-Rawan	gr	111	In the presence of a vampire descended from Anushin-Rawan they are compelled to protect that Ventrue as if blood bound, for 10 nights minus their Willpower.	Na presença de um vampiro descendente de Anushin-Rawan, são compelidos a proteger aquele Ventrue como se estivessem sob laço de sangue, por 10 noites menos a Força de Vontade.
Szantovich	da	455	Addictive personalities: exposed to a sensual experience that has weakened them, a Willpower roll to do anything but pursue it, and Willpower may not be spent to resist the addiction.	Personalidades viciantes: expostos a uma experiência sensual que os enfraqueceu, faça um teste de Força de Vontade para fazer qualquer outra coisa, e não podem gastar Força de Vontade para resistir ao vício.
Vlaszy	da	455	Every Vlaszy swears a Blood Oath to a Fiend upon reaching the age of majority.	Todo Vlaszy jura um Juramento de Sangue a um Demônio ao atingir a maioridade.
Zantosa	gr	113	Exposed to a pleasurable experience, a Willpower roll or they become obsessed with it. They may not spend Willpower to resist a supernatural power that entices them to a new pleasure.	Diante de uma experiência prazerosa, um teste de Força de Vontade ou ficam obcecados por ela. Não podem gastar Força de Vontade para resistir a um poder sobrenatural que os atraia a um novo prazer.
