Presence	6	Kingmaker
Presence	6	Love
Presence	6	Paralyzing Glance
Presence	6	Spark of Rage
Presence	7	Cooperation
Presence	8	Ironclad Command
Presence	9	Pulse of the City
Presence	9	Pulse of the People
Protean	6	Adaptation
Protean	6	Earth Control
Protean	6	Ephemeral Slumber
Protean	6	Flesh of Marble
Protean	6	Loki’s Gift
Protean	6	Reversion to the True Form
Protean	7	Death’s Hidden Crawl
Protean	7	Restore the Mortal Visage
Protean	7	Shape of the Beast’s Wrath
Protean	7	Spectral Body
Protean	8	Purify the Impaled Beast
Protean	8	Purify the Impaled Breast
Protean	9	Draught of Phoenix Blood
Protean	9	Inward Focus
Quietus	6	Blood Awakening
Quietus	6	Blood Sweat
Quietus	6	Purification
Quietus	6	Ripples of the Heart
Quietus	6	Selective Silence
Quietus	6	Taste of Death
Quietus	7	Baal’s Bloody Talons
Quietus	7	Dam the Heart’s River
Quietus	7	Poison the Well of Life
Quietus	7	Rapturous Touch
Quietus	8	Blood of Destruction
Quietus	8	Songs of Distant Vitae
Quietus	9	Condemn the Sins of the Father
Quietus	9	Weaken the Blood of Ancients
Serpentis	6	Cobra Fangs
Serpentis	6	Echidna’s Venom
Serpentis	7	Divine Image
Serpentis	7	Form of the Storm
Serpentis	8	Cerberus’s Fury
Serpentis	8	Heart Thief
Serpentis	9	Godhead
Serpentis	9	Shadow of Apep
Spiritus	6	The Spirit Beast
Temporis	6	Kiss of Lachesis
Temporis	7	Cheat the Fates
Temporis	8	Clio’s Kiss
Temporis	9	Tangle Atropos’ Hand
Thanatosis	6	Creeping Infection
Thanatosis	7	Dust to Dust
Thanatosis	8	Putrescent Servitude
Valeren	6	Blissful Agony
Valeren	6	Father’s Judgment
Valeren	6	Safe Passage
Valeren	6	Samiel’s Vengeance
Valeren	7	Aversion
Valeren	7	Blissful Gaze
Valeren	7	Dream Combat
Valeren	8	Fiery Agony
Valeren	8	Purification
Valeren	8	Rayzeel’s Song
Valeren	9	Heaven’s Gate
Valeren	9	Song of the Blooded
Valeren	9	Soul Exchange
Vicissitude	6	Blood of Acid
Vicissitude	6	Chiropteran Marauder
Vicissitude	7	Blood of the Earth
Vicissitude	7	Cocoon
Vicissitude	8	Breath of the Dragon
Vicissitude	8	Sublimation of the Larval Flesh
Vicissitude	9	Earth’s Vast Haven
Vicissitude	9	The Last Dracul
