name	kind	book	page	roll	roll_pt	diff	damage	damage_pt	range	rate	clip	conceal	conceal_pt	notes_en	notes_pt	name_pt
SMG, Large	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	4	4	50	3	30+1	T	M	Example: HK MP5 (9mm). Capable of three-round bursts, full auto and sprays.	Exemplo: HK MP5 (9mm). Capaz de rajadas de 3 tiros, fogo automático e varredura.	Submetralhadora Grande
Assault Rifle	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	7	7	150	3	30+1	N	N	Example: FN SCAR (5.56mm). Capable of three-round bursts, full auto and sprays.	Exemplo: FN SCAR (5.56mm). Capaz de rajadas de 3 tiros, fogo automático e varredura.	Fuzil de Assalto
Shotgun	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	8	8	20	1	5+1	T	M	Example: Remington 870 (12-Gauge). Lethal vs. mortals; bashing vs. Kindred unless the head is targeted.	Exemplo: Remington 870 (calibre 12). Letal contra mortais; contusão contra Membros, salvo mira na cabeça.	Escopeta
Shotgun, Semi-auto	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	8	8	20	3	6+1	T	M	Example: Benelli M4 Super 90 (12-Gauge). Lethal vs. mortals; bashing vs. Kindred unless the head is targeted.	Exemplo: Benelli M4 Super 90 (calibre 12). Letal contra mortais; contusão contra Membros, salvo mira na cabeça.	Escopeta Semiautomática
Crossbow	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	5	5	20	1	1	T	M	Five turns to reload. Bashing vs. Kindred unless aimed at the head or heart; lethal vs. mortals. Included for staking.	Cinco turnos para recarregar. Contusão contra Membros, salvo mira na cabeça ou no coração; letal contra mortais. Incluída para estacar.	Besta
Bite	maneuver	core	279	Dex + Brawl	Des + Briga	6	Str + 1 (A)	For + 1 (A)	-	-	-	-	-	Accuracy +1. Needs a successful clinch, hold or tackle first. (A) aggravated damage.	Precisão +1. Exige agarrão, imobilização ou investida bem-sucedida antes. (A) dano agravado.	Mordida
Block	maneuver	core	279	Dex + Brawl	Des + Briga	6	None (R)	Nenhum (R)	-	-	-	-	-	Accuracy: special. (R) reduces an opponent's attack successes.	Precisão: especial. (R) reduz os sucessos de ataque do oponente.	Bloqueio
Claw	maneuver	core	279	Dex + Brawl	Des + Briga	6	Str + 1 (A)	For + 1 (A)	-	-	-	-	-	Vampires with claws (Protean, Vicissitude). (A) aggravated damage.	Vampiros com garras (Metamorfose, Vicissitude). (A) dano agravado.	Garra
Clinch	maneuver	core	279	Str + Brawl	For + Briga	6	Str (C)	For (P)	-	-	-	-	-	Accuracy: special. (C) carries over on successive turns.	Precisão: especial. (C) continua nos turnos seguintes.	Agarrão
Disarm	maneuver	core	279	Dex + Melee	Des + Armas Brancas	7	Special	Especial	-	-	-	-	-	Successes exceeding the opponent's Strength knock the weapon away.	Sucessos acima da Força do oponente arrancam a arma.	Desarmar
Dodge	maneuver	core	279	Dex + Athletics	Des + Esportes	6	None (R)	Nenhum (R)	-	-	-	-	-	Accuracy: special. (R) reduces an opponent's attack successes.	Precisão: especial. (R) reduz os sucessos de ataque do oponente.	Esquiva
Hold	maneuver	core	279	Str + Brawl	For + Briga	6	None (C)	Nenhum (P)	-	-	-	-	-	(C) carries over on successive turns.	(C) continua nos turnos seguintes.	Imobilização
Kick	maneuver	core	279	Dex + Brawl	Des + Briga	7	Str + 1	For + 1	-	-	-	-	-			Chute
Parry	maneuver	core	279	Dex + Melee	Des + Armas Brancas	6	None (R)	Nenhum (R)	-	-	-	-	-	Accuracy: special. (R) reduces an opponent's attack successes.	Precisão: especial. (R) reduz os sucessos de ataque do oponente.	Aparar
Strike	maneuver	core	279	Dex + Brawl	Des + Briga	6	Str	For	-	-	-	-	-			Golpe
Sweep	maneuver	core	279	Dex + Brawl/Melee	Des + Briga/Armas Brancas	7	Str (K)	For (K)	-	-	-	-	-	(K) causes knockdown.	(K) causa derrubada.	Rasteira
Tackle	maneuver	core	279	Str + Brawl	For + Briga	7	Str + 1 (K)	For + 1 (K)	-	-	-	-	-	(K) causes knockdown. Attacker rolls Dex + Athletics (difficulty 8) or falls too.	(K) causa derrubada. O atacante rola Des + Esportes (dificuldade 8) ou cai também.	Investida
Weapon Strike	maneuver	core	279	Dex + Melee	Des + Armas Brancas	6	Weapon	Arma	-	-	-	-	-	Damage by weapon type (Melee Weapons Chart).	Dano conforme a arma (Tabela de Armas Brancas).	Golpe com Arma
Automatic Fire	maneuver	core	279	Dex + Firearms	Des + Armas de Fogo	8	Special	Especial	-	-	-	-	-	Accuracy +10. Empties the clip. Only weapons marked for full auto.	Precisão +10. Esvazia o pente. Só armas capazes de fogo automático.	Fogo Automático
Multiple Shots	maneuver	core	279	Dex + Firearms	Des + Armas de Fogo	6	Weapon	Arma	-	-	-	-	-	Accuracy: special (the dice pool is split between shots).	Precisão: especial (a parada é dividida entre os tiros).	Tiros Múltiplos
Strafing	maneuver	core	279	Dex + Firearms	Des + Armas de Fogo	8	Special	Especial	-	-	-	-	-	Accuracy +10. Empties the clip across an area (max. three yards).	Precisão +10. Esvazia o pente numa área (máx. três metros).	Rajada de Varredura
3-Round Burst	maneuver	core	279	Dex + Firearms	Des + Armas de Fogo	7	Weapon	Arma	-	-	-	-	-	Accuracy +2. Uses three bullets from the clip.	Precisão +2. Gasta três balas do pente.	Rajada de 3 Tiros
Two Weapons	maneuver	core	279	Dex + Firearms	Des + Armas de Fogo	6/7	Weapon	Arma	-	-	-	-	-	+1 difficulty for the off-hand weapon. Two rolls, as a multiple action.	Dificuldade +1 para a arma da mão inábil. Duas jogadas, como ação múltipla.	Duas Armas
Counter Throw	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	6	Special	Especial	-	-	-	-	-	Resisted roll of Dex + Martial Arts against the attacker's Dex + Brawl, Melee or Martial Arts; success deflects the attack and may Throw the attacker.	Jogada resistida de Des + Artes Marciais contra Des + Briga, Armas Brancas ou Artes Marciais do atacante; sucesso desvia o ataque e pode Arremessar o atacante.	Contra-Arremesso
Death Strike	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	5	Str + 2 (L)	For + 2 (L)	-	-	-	-	-			Golpe Mortal
Deflecting Block	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	6	Attacker's Str (B)	For do Atacante (C)	-	-	-	-	-	Each success subtracts one success from the attacker's roll; if the defender wins, the attacker rolls Dex (difficulty 8) or takes own Strength in bashing damage.	Cada sucesso subtrai um sucesso da jogada do atacante; se o defensor vencer, o atacante rola Des (dificuldade 8) ou sofre a própria Força em dano de contusão.	Bloqueio Defletor
Martial Arts Disarm	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	7	3	3	-	-	-	-	-	Bare-handed disarm; minimum three dots in Martial Arts.	Desarme com as mãos nuas; mínimo de três pontos em Artes Marciais.	Desarmar (Artes Marciais)
Dragon Tail Sweep	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	8	Opponent's Str (B)	For do Oponente (C)	-	-	-	-	-			Rasteira Cauda de Dragão
Elbow/Knee Strike	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	5	Str + 1 (B)	For + 1 (C)	-	-	-	-	-			Golpe de Cotovelo/Joelho
Flying Kick	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	7	Str + 2 (B)	For + 2 (C)	-	-	-	-	-			Chute Voador
Hard/Soft Strike	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	5/6	Str + 1 (B)	For + 1 (C)	-	-	-	-	-	Difficulty 5 hard style / 6 soft style.	Dificuldade 5 no estilo duro / 6 no estilo suave.	Golpe Duro/Suave
Joint Lock	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	5	Grapple + Successes (L)	Agarrão + Sucessos (L)	-	-	-	-	-			Chave de Articulação
Nerve Strike	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	7	Str + 3 (B)	For + 3 (C)	-	-	-	-	-	With three or more successes the target rolls Stamina (difficulty 8) or is stunned next turn.	Com três ou mais sucessos, o alvo rola Vigor (dificuldade 8) ou fica atordoado no turno seguinte.	Golpe Nervoso
Snake Step	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	6/5	Dodge + 3 dice	Esquiva + 3 dados	-	-	-	-	-	Difficulty 6 hard style / 5 soft style.	Dificuldade 6 no estilo duro / 5 no estilo suave.	Passo da Serpente
Snap Kick	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	5	Str + 1 (B)	For + 1 (C)	-	-	-	-	-			Chute Rápido
Spinning Kick	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	6	Str + 3 (B)	For + 3 (C)	-	-	-	-	-			Chute Giratório
Throw	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	7/6	Str + Movement (B)	For + Movimento (C)	-	-	-	-	-	Difficulty 7 hard style / 6 soft style. A pool equal to or above the opponent's Dexterity throws him one yard per success.	Dificuldade 7 no estilo duro / 6 no estilo suave. Parada igual ou maior que a Destreza do oponente o arremessa um metro por sucesso.	Arremesso
Thunder Kick	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	7	Str + 3 + Successes (B)	For + 3 + Sucessos (C)	-	-	-	-	-			Chute Trovão
Vital Strike	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	7	Str (L)	For (L)	-	-	-	-	-			Golpe Vital
Withering Grasp	martial	m20	449	Dex + Martial Arts	Des + Artes Marciais	7	Str (B) + Disarm	For (C) + Desarme	-	-	-	-	-			Garra Devastadora
Bite (Mage)	maneuver	m20	448	Dex + Brawl	Des + Briga	5	Str + 1 to + 3 (B or L)	For + 1 a + 3 (C ou L)	-	-	-	-	-	Damage bonus and type depend on the biter's jaws.	Bônus e tipo de dano dependem da mandíbula de quem morde.	Mordida (Mago)
Claw (Mage)	maneuver	m20	448	Dex + Brawl	Des + Briga	6	Str + 1 to + 3 (L or A)	For + 1 a + 3 (L ou A)	-	-	-	-	-	Damage bonus and type depend on the claws.	Bônus e tipo de dano dependem das garras.	Garra (Mago)
Disarm (Mage)	maneuver	m20	448	Dex + Melee	Des + Armas Brancas	7/8	Special	Especial	-	-	-	-	-	Difficulty +1 with a weapon; 8 bare-handed (one die less). Successes above the opponent's Strength drop the weapon; a botch drops your own.	Dificuldade +1 com arma; 8 com as mãos nuas (um dado a menos). Sucessos acima da Força do oponente derrubam a arma; falha crítica derruba a sua.	Desarmar (Mago)
Flank/Rear Attack	maneuver	m20	448	Dex + Ability	Des + Habilidade	5/4	As Attack	Como o Ataque	-	-	-	-	-	Difficulty -1 from the flank, -2 from the rear.	Dificuldade -1 pelo flanco, -2 pelas costas.	Ataque pelo Flanco/Costas
Grapple	maneuver	m20	448	Str + Brawl	For + Briga	6	Str or None	For ou Nenhum	-	-	-	-	-			Agarrar
Kick (Mage)	maneuver	m20	448	Dex + Brawl	Des + Briga	7	Str + 1 (B)	For + 1 (C)	-	-	-	-	-			Chute (Mago)
Punch	maneuver	m20	448	Dex + Brawl	Des + Briga	6	Str (B)	For (C)	-	-	-	-	-			Soco
Reading Opponent	maneuver	m20	448	Per + Trait	Per + Traço	6	Special	Especial	-	-	-	-	-	Resisted roll, Perception + combat Trait against the opponent's Wits + combat Trait; each success adds one die to the next action.	Jogada resistida, Percepção + Traço de combate contra Raciocínio + Traço de combate do oponente; cada sucesso soma um dado à próxima ação.	Ler o Oponente
Sweep (Mage)	maneuver	m20	448	Dex + Brawl	Des + Briga	8	Special	Especial	-	-	-	-	-	Knockdown: the opponent ends up on the ground.	Derrubada: o oponente vai ao chão.	Rasteira (Mago)
Tackle (Mage)	maneuver	m20	448	Dex + Brawl	Des + Briga	7	Str + Special (B)	For + Especial (C)	-	-	-	-	-	Needs two yards of momentum; both roll Dex + Athletics or end up on the ground. May hurt the attacker.	Exige dois metros de impulso; ambos rolam Des + Esportes ou vão ao chão. Pode ferir o atacante.	Investida (Mago)
Blinding	maneuver	m20	447	Dex + Subterfuge	Des + Lábia	9	Special	Especial	-	-	-	-	-	Dirty fighting (min. Brawl 3). Enemy blinded one turn per success and loses two dice until he recovers.	Luta suja (mín. Briga 3). Inimigo cego por um turno por sucesso e perde dois dados até se recuperar.	Cegar
Body Slam	maneuver	m20	447	Dex + Brawl	Des + Briga	6	Str + 2 (B or L)	For + 2 (C ou L)	-	-	-	-	-	Dirty fighting (min. Brawl 3).	Luta suja (mín. Briga 3).	Golpe de Corpo
Curbstomp	maneuver	m20	447	Str + Brawl	For + Briga	6	Str + 2 (L)	For + 2 (L)	-	-	-	-	-	Dirty fighting (min. Brawl 3). Against a downed opponent.	Luta suja (mín. Briga 3). Contra oponente caído.	Pisão no Meio-Fio
Haymaker	maneuver	m20	447	Dex + Brawl	Des + Briga	7	Str + 2 (B) + Knockdown	For + 2 (C) + Derrubada	-	-	-	-	-	Dirty fighting (min. Brawl 3).	Luta suja (mín. Briga 3).	Soco Devastador
Head Butt	maneuver	m20	447	Dex + Brawl	Des + Briga	6	Str + 1 (B)	For + 1 (C)	-	-	-	-	-	Dirty fighting (min. Brawl 3).	Luta suja (mín. Briga 3).	Cabeçada
Jab Pistol	maneuver	m20	447	Dex + Brawl	Des + Briga	6	As Firearm + 2 (L)	Como a Arma de Fogo + 2 (L)	-	-	-	-	-	Dirty fighting (min. Brawl 3). Gun pressed against the target.	Luta suja (mín. Briga 3). Arma encostada no alvo.	Pistola Encostada
Low Blow	maneuver	m20	447	Dex + Brawl	Des + Briga	7	Str + Stun (B or L)	For + Atordoamento (C ou L)	-	-	-	-	-	Dirty fighting (min. Brawl 3).	Luta suja (mín. Briga 3).	Golpe Baixo
Pistol Whip	maneuver	m20	447	Dex + Melee	Des + Armas Brancas	7	Str + 2 (L)	For + 2 (L)	-	-	-	-	-	Dirty fighting (min. Brawl 3).	Luta suja (mín. Briga 3).	Coronhada
Aiming	maneuver	m20	447	Dex + Firearms	Des + Armas de Fogo	6	Weapon	Arma	-	-	-	-	-	+2 dice to hit per turn spent aiming.	+2 dados para acertar por turno gasto mirando.	Mirar
Full-Auto	maneuver	m20	447	Dex + Firearms	Des + Armas de Fogo	8	Weapon + 10 dice	Arma + 10 dados	-	-	-	-	-	+10 dice; empties the clip. Only weapons marked for full auto.	+10 dados; esvazia o pente. Só armas capazes de fogo automático.	Tiro Automático
Point Blank	maneuver	m20	447	Dex + Firearms	Des + Armas de Fogo	4	Weapon	Arma	-	-	-	-	-	Within two yards.	A até dois metros.	Queima-Roupa
Hatchet	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	J	R			Machadinha
Tomahawk	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	J	R			Tomahawk
Axe (Mage)	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 3 (L)	For + 3 (L)	-	-	-	N	N			Machado (Mago)
Great Axe	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 6 (L)	For + 6 (L)	-	-	-	N	N	Two-handed; very heavy, requires Strength 3.	Duas mãos; muito pesado, exige Força 3.	Machado Grande
Polearm	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 3 (L)	For + 3 (L)	-	-	-	N	N	Requires two hands; +2 difficulty one-handed.	Exige as duas mãos; dificuldade +2 com uma mão.	Arma de Haste
Stiletto	melee	m20	450	Dex + Melee	Des + Armas Brancas	4	Str + 1 (L)	For + 1 (L)	-	-	-	P	B	Penetrates up to three points of armor.	Penetra até três pontos de armadura.	Estilete
Knife (Mage)	melee	m20	450	Dex + Melee	Des + Armas Brancas	4	Str + 1 (L)	For + 1 (L)	-	-	-	P	B			Faca (Mago)
Short Sword	melee	m20	450	Dex + Melee	Des + Armas Brancas	5	Str + 2 (L)	For + 2 (L)	-	-	-	J	R			Espada Curta
Katana	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 3 (L)	For + 3 (L)	-	-	-	T	M	Two-handed use adds one damage die.	Com as duas mãos soma um dado de dano.	Katana
Great Sword	melee	m20	450	Dex + Melee	Des + Armas Brancas	5	Str + 6 (L)	For + 6 (L)	-	-	-	N	N	Two-handed; very heavy, requires Strength 3.	Duas mãos; muito pesado, exige Força 3.	Espada Grande
Sai	melee	m20	450	Dex + Melee	Des + Armas Brancas	5	Str + 1 (L)	For + 1 (L)	-	-	-	J	R	+1 die to block; +2 dice to disarm.	+1 dado para bloquear; +2 dados para desarmar.	Sai
Hook Sword(s)	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 3 (L)	For + 3 (L)	-	-	-	T	M	Used as a pair; requires two hands; +1 die to block; +2 dice to disarm.	Usadas em par; exigem as duas mãos; +1 dado para bloquear; +2 dados para desarmar.	Espadas-Gancho
Riot Baton	melee	m20	450	Dex + Melee	Des + Armas Brancas	5	Str + 1 (B)	For + 1 (C)	-	-	-	T	M			Cassetete Policial
Baseball Bat	melee	m20	450	Dex + Melee	Des + Armas Brancas	5	Str + 2 (B)	For + 2 (C)	-	-	-	T	M			Taco de Beisebol
Crowbar	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	J	R			Pé de Cabra
Staff	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 1 (B)	For + 1 (C)	-	-	-	N	N			Bastão
Iron Staff	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 3 (L)	For + 3 (L)	-	-	-	N	N	Two-handed; very heavy, requires Strength 3.	Duas mãos; muito pesado, exige Força 3.	Bastão de Ferro
Mace	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	N	N			Maça
Nunchaku	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 2 (B)	For + 2 (C)	-	-	-	T	M	+1 die to block; +1 difficulty to the opponent's block.	+1 dado para bloquear; dificuldade +1 para o bloqueio do oponente.	Nunchaku
Spiked Club	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	T	M			Clava com Espinhos
Huge Spiked Club	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 4 (L)	For + 4 (L)	-	-	-	N	N	Two-handed; very heavy, requires Strength 3.	Duas mãos; muito pesado, exige Força 3.	Clava Enorme com Espinhos
Sap (Mage)	melee	m20	450	Dex + Melee	Des + Armas Brancas	4	Str + 1 (B)	For + 1 (C)	-	-	-	P	B			Cassetete (Mago)
Brass Knuckles	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str (L)	For (L)	-	-	-	P	B			Soco-Inglês
Spiked Gauntlet	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	J	R			Manopla com Espinhos
Hand Claws (small)	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	P	B			Garras de Mão (pequenas)
Hand Claws (large)	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	P	B			Garras de Mão (grandes)
Katar	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 2	For + 2	-	-	-	J	R	Penetrates up to three points of armor; +1 die to block.	Penetra até três pontos de armadura; +1 dado para bloquear.	Katar
War Fan	melee	m20	450	Dex + Melee	Des + Armas Brancas	5	Str + 2 (L)	For + 2 (L)	-	-	-	J	R	+1 die to block; +1 difficulty to the opponent's block.	+1 dado para bloquear; dificuldade +1 para o bloqueio do oponente.	Leque de Guerra
Wind and Fire Wheel	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 3 (L)	For + 3 (L)	-	-	-	N	N	+2 dice to disarm.	+2 dados para desarmar.	Roda de Vento e Fogo
Broken Bottle	melee	m20	450	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	P	B	Breaks after three uses.	Quebra depois de três usos.	Garrafa Quebrada
Chair	melee	m20	450	Dex + Melee	Des + Armas Brancas	7	Str + 2 (B)	For + 2 (C)	-	-	-	N	N			Cadeira
Chainsaw	melee	m20	450	Dex + Melee	Des + Armas Brancas	8	Str + 7 (L)	For + 7 (L)	-	-	-	N	N	On a botch the user hurts himself.	Numa falha crítica o usuário se fere.	Motosserra
Table	melee	m20	450	Dex + Melee	Des + Armas Brancas	8	Str + 3 (B)	For + 3 (C)	-	-	-	N	N	Two-handed; very heavy, requires Strength 3.	Duas mãos; muito pesado, exige Força 3.	Mesa
Chain	melee	m20	451	Dex + Melee	Des + Armas Brancas	5	Str (B)	For (C)	-	-	-	J	R	May entangle a limb at +1 difficulty.	Pode enredar um membro a dificuldade +1.	Corrente
Chain Whip	melee	m20	451	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	J	R	May entangle a limb at +1 difficulty.	Pode enredar um membro a dificuldade +1.	Chicote de Corrente
Kusarigama	melee	m20	451	Dex + Melee	Des + Armas Brancas	7	Str + 3 (B)	For + 3 (C)	-	-	-	T	M	Requires two hands; +2 dice to disarm; may entangle at +1 difficulty.	Exige as duas mãos; +2 dados para desarmar; pode enredar a dificuldade +1.	Kusarigama
Manriki-Gusari	melee	m20	451	Dex + Melee	Des + Armas Brancas	7	Str + 2 (L)	For + 2 (L)	-	-	-	T	M	Requires two hands; +2 dice to disarm; may entangle at +1 difficulty.	Exige as duas mãos; +2 dados para desarmar; pode enredar a dificuldade +1.	Manriki-Gusari
Flogger	melee	m20	451	Dex + Melee	Des + Armas Brancas	6	Str + 1 (B)	For + 1 (C)	-	-	-	-	-	May entangle a limb at +1 difficulty.	Pode enredar um membro a dificuldade +1.	Flagelo
Barbed Cat	melee	m20	451	Dex + Melee	Des + Armas Brancas	6	Str (L)	For (L)	-	-	-	J	R	May entangle a limb at +1 difficulty.	Pode enredar um membro a dificuldade +1.	Gato de Nove Caudas com Farpas
Whip	melee	m20	451	Dex + Melee	Des + Armas Brancas	6	Str (L)	For (L)	-	-	-	J	R	May entangle a limb at +1 difficulty.	Pode enredar um membro a dificuldade +1.	Chicote
Bullwhip	melee	m20	451	Dex + Melee	Des + Armas Brancas	7	Str + 1 (L)	For + 1 (L)	-	-	-	J	R	May entangle a limb at +1 difficulty.	Pode enredar um membro a dificuldade +1.	Chicote de Couro
Semi-Automatic Pistol, Lt.	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	4	4	20	4	17+1	P	B	Example: Glock 17 (9mm). All firearm damage is lethal.	Exemplo: Glock 17 (9mm). Todo dano de arma de fogo é letal.	Pistola Semiautomática Leve
Semi-Automatic Pistol, Hvy.	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	5	5	30	3	7+1	J	R	Example: IMI Desert Eagle (.50 AE).	Exemplo: IMI Desert Eagle (.50 AE).	Pistola Semiautomática Pesada
Rifle (Mage)	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	8	8	200	1	5+1	N	N	Example: Remington M-700 (30.06).	Exemplo: Remington M-700 (30.06).	Rifle (Mago)
SMG, Small (Mage)	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	4	4	25	3	30+1	J	R	Example: Ingram Mac-10 (9mm). May fire full-auto, three-round bursts and strafing sprays.	Exemplo: Ingram Mac-10 (9mm). Pode disparar fogo automático, rajadas de 3 tiros e varredura.	Submetralhadora Pequena (Mago)
Assault Rifle (Mage)	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	7	7	150	3	42+1	N	N	Example: AK-47 (7.62x39mm). May fire full-auto, three-round bursts and strafing sprays.	Exemplo: AK-47 (7.62x39mm). Pode disparar fogo automático, rajadas de 3 tiros e varredura.	Fuzil de Assalto (Mago)
Shotgun, Sawed Off	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	8	8	10	2	2	J	R	Example: Winchester Model 24 double barrel (12 Gauge).	Exemplo: Winchester Model 24 de cano duplo (calibre 12).	Escopeta de Cano Serrado
Shotgun, Semi-Automatic	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	8	8	25	3	6+1	T	M	Example: Benelli M4 (12 Gauge).	Exemplo: Benelli M4 (calibre 12).	Escopeta Semiautomática (Mago)
Shotgun, Assault	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	8	8	50	3	32+1	N	N	Example: MPS AA-12 (12 Gauge). May fire full-auto, three-round bursts and strafing sprays.	Exemplo: MPS AA-12 (calibre 12). Pode disparar fogo automático, rajadas de 3 tiros e varredura.	Escopeta de Assalto
